Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2012-01-03,12.433823585510254,46.5659065246582,40.600059509277344,60.73109817504883,67.63966369628906,25.26699447631836,12.924064636230469,67.20384979248047,34.1891975402832,,76.28378295898438,31.88606834411621,40.93330001831055,111.90567779541016,17.136714935302734,46.6111946105957,24.839162826538086,23.948863983154297,70.7968978881836,56.39931106567383,24.690391540527344,21.238758087158203,20.999849319458008,46.72992706298828,44.26689147949219,42.696800231933594,23.593530654907227,22.01596450805664,22.40569305419922,15.429747581481934
2012-01-04,12.50064468383789,46.31166458129883,40.62533187866211,60.82109451293945,68.26578521728516,24.33820915222168,13.17380142211914,67.08815002441406,34.671112060546875,,75.787841796875,32.340057373046875,40.89649200439453,111.44913482666016,17.534748077392578,46.328189849853516,24.99651336669922,23.798620223999023,71.19085693359375,56.86540985107422,24.7161808013916,21.738582611083984,21.305709838867188,46.708946228027344,44.086788177490234,43.3187255859375,23.172014236450195,21.72781753540039,22.24980926513672,15.271173477172852
2012-01-05,12.639429092407227,46.783790588378906,41.096923828125,60.166500091552734,68.7480239868164,24.66028594970703,13.125238418579102,66.43054962158203,35.251182556152344,,75.6598129272461,32.60489273071289,40.940670013427734,110.92053985595703,17.737266540527344,46.271602630615234,25.518617630004883,23.685945510864258,71.5060043334961,56.60872268676758,24.974037170410156,21.960729598999023,21.292701721191406,46.513160705566406,44.52203369140625,43.60895919799805,23.34611701965332,21.57819175720215,22.175260543823242,15.19700813293457
2012-01-06,12.77155876159668,47.038028717041016,40.65058898925781,60.53472900390625,68.92074584960938,25.232040405273438,13.076681137084961,65.94953918457031,35.617088317871094,,74.73187255859375,32.68812942504883,40.63871765136719,109.64715576171875,17.63252067565918,45.868324279785156,25.289751052856445,23.535709381103516,72.05752563476562,56.3182487487793,24.799989700317383,22.301876068115234,21.255821228027344,46.40128707885742,44.537044525146484,43.766510009765625,23.071218490600586,21.516448974609375,22.419246673583984,15.089588165283203
2012-01-09,12.751296043395996,46.63127136230469,40.751644134521484,60.984771728515625,69.88517761230469,25.15464210510254,13.159932136535645,66.66804504394531,35.474300384521484,,75.7478256225586,32.71082305908203,40.97749710083008,109.07649993896484,17.786148071289062,45.93906021118164,25.246837615966797,23.535709381103516,71.3698959350586,56.6560173034668,24.7484188079834,22.008325576782227,21.33391571044922,46.597068786621094,44.79217529296875,43.71675491333008,22.885658264160156,21.53890037536621,22.703895568847656,15.135625839233398
2012-01-10,12.796956062316895,47.698978424072266,40.987457275390625,61.36933135986328,71.943603515625,26.1633243560791,13.06280517578125,66.40620422363281,35.36720657348633,,78.65968322753906,32.937828063964844,41.66978073120117,108.90827941894531,17.869949340820312,46.130088806152344,25.783246994018555,23.675697326660156,71.41287231445312,56.94647216796875,24.83222007751465,22.087665557861328,21.35994529724121,46.38029479980469,45.0998420715332,43.633827209472656,22.862749099731445,21.651166915893555,23.313844680786133,15.099817276000977
2012-01-11,12.776090621948242,48.229225158691406,41.22325134277344,61.156578063964844,71.71328735351562,26.420488357543945,13.22929573059082,65.6207275390625,34.53724670410156,,79.80361938476562,32.884857177734375,41.58139419555664,109.51496124267578,18.016592025756836,46.080570220947266,26.219512939453125,23.238649368286133,71.57763671875,56.58845138549805,24.761314392089844,21.992462158203125,21.288358688354492,45.92579650878906,44.94977569580078,43.95722579956055,22.70467185974121,21.836410522460938,23.049524307250977,15.191889762878418
2012-01-12,12.741022109985352,49.0572624206543,41.812747955322266,61.78665542602539,73.36865234375,26.385534286499023,13.28480052947998,63.91583251953125,34.56401824951172,,80.96354675292969,32.83188247680664,42.11902618408203,108.45176696777344,17.981679916381836,46.15132522583008,26.35540771484375,23.07134437561035,72.03608703613281,56.93296432495117,24.890233993530273,22.21461296081543,21.496599197387695,46.01670455932617,44.87472915649414,43.84113311767578,23.215547561645508,21.847639083862305,22.548004150390625,15.217464447021484
2012-01-13,12.693248748779297,49.100833892822266,41.90538787841797,61.04203414916992,73.75728607177734,25.94111442565918,13.222362518310547,64.59778594970703,34.26951599121094,,79.16362762451172,32.922691345214844,41.75816345214844,107.61682891845703,17.55571174621582,46.172542572021484,25.690258026123047,22.873308181762695,71.87847137451172,56.473594665527344,24.703292846679688,22.412946701049805,21.32306671142578,46.01670455932617,44.55205535888672,43.700164794921875,23.078086853027344,21.847639083862305,22.114269256591797,15.227699279785156
2012-01-17,12.841099739074707,49.442222595214844,42.29277038574219,61.565711975097656,74.39784240722656,25.826265335083008,13.395792007446289,64.98139953613281,34.340911865234375,,78.13970184326172,33.096736907958984,42.09693145751953,108.12139129638672,17.485876083374023,46.0734977722168,24.9678955078125,22.996225357055664,72.02172088623047,56.89918899536133,25.025619506835938,22.420886993408203,21.526962280273438,46.331363677978516,44.79217529296875,44.421592712402344,23.4881534576416,21.90377426147461,22.500568389892578,15.306986808776855
2012-01-18,12.974437713623047,50.27751922607422,42.57912063598633,61.418418884277344,75.37384033203125,26.889873504638672,13.555353164672852,65.04837799072266,34.82282257080078,,83.44338989257812,33.95933532714844,42.85549545288086,108.76411437988281,17.73027801513672,46.186683654785156,26.133691787719727,23.078168869018555,72.74515533447266,57.466636657714844,25.057851791381836,22.397085189819336,21.87837791442871,46.53927230834961,44.94226837158203,44.7284049987793,23.77450942993164,21.898162841796875,22.873315811157227,15.347900390625
